Article Title,Article Description,Article Author,Article Link,Article Image
HOMEOWNERSHIP RATES FOR HISPANIC AND BLACK HOUSEHOLDS SURPASSED WHITE HOUSEHOLDS DURING THE PANDEMIC,"During the pandemic, Black homeownership rates increased by 2 percentage points and Hispanic homeownership rates by 2.5 percentage points, while the white homeownership rate increased just 1 percentage point.",No Author name,https://www.builderonline.com/data-analysis/homeownership-rates-for-hispanic-and-black-households-surpassed-white-households-during-the-pandemic_c,None
NEW-HOME MORTGAGE APPLICATIONS REBOUND IN RESPONSE TO LOWER RATES,"In response to lower mortgage rates and typical seasonal patterns, mortgage applications for new-home purchases increased month over month in January.",Vincent Salandro,https://www.builderonline.com/data-analysis/new-home-mortgage-applications-rebound-in-response-to-lower-rates_o,https://cdnassets.hw.net/dims4/GG/8d59230/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F8d%2Fa3%2F4d403a3e4015b3ab9d36e868a7bb%2Fproxy-6.jpg
MARKET SHARE OF BUILD-TO-RENT GROWS IN 2022,"The number of single-family built-for-rent (SFBFR) starts increased by 33% in 2022 compared with 2021, according to an NAHB analysis of the Census Bureau’s Quarterly Starts and Completions by Purpose and Design. During the fourth quarter, the number of SFBFR starts increased 6% to 17,000.",No Author name,https://www.builderonline.com/data-analysis/market-share-of-build-to-rent-grows-in-2022_c,None
SINGLE-FAMILY STARTS DECREASE IN JANUARY,"Privately owned housing starts in January decreased 4.5% from the previous month to a seasonally adjusted annual rate of 1,309,000, according to the U.S. Census Bureau and the Department of Housing and Urban Development.",Vincent Salandro,https://www.builderonline.com/data-analysis/single-family-starts-decrease-in-january_o,https://cdnassets.hw.net/dims4/GG/271f6ce/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F0b%2Ff3%2F03d22efc4d6390a8c7262b46a4db%2Fnew-construction-wood-framing-suburban-house.jpg
BIGGEST PULLBACK IN INVESTOR HOME PURCHASES SINCE THE MORTGAGE CRISIS OF 2008,The level of home purchase activity by investors fell at a record level during the fourth quarter of 2022.,Vincent Salandro,https://www.builderonline.com/data-analysis/biggest-pullback-in-investor-home-purchases-since-the-mortgage-crisis-of-2008_o,https://cdnassets.hw.net/dims4/GG/b65b29a/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Faa%2Fe3%2F618a70e645089811cceb84a2a892%2Fadobestock-381681947-1.jpeg
CONSUMER PRICES DECELERATE FOR SEVENTH CONSECUTIVE MONTH IN JANUARY,"Consumer prices decelerated for the seventh consecutive month in January, growing on the smallest year-over-year basis since October 2021. The NAHB says the disinflation pace “was much slower than expected,” in part because a new methodology for inflation introduced higher weights for shelter and lower weights for food and energy to reflect changes in consumer spending in 2021.",No Author name,https://www.builderonline.com/data-analysis/consumer-prices-decelerate-for-seventh-consecutive-month-in-january_c,None
BUILDER SENTIMENT RISES WITH CAUTIOUS OPTIMISM,,Leah Draffen,https://www.builderonline.com/data-analysis/builder-sentiment-rises-with-cautious-optimism_o,https://cdnassets.hw.net/dims4/GG/7eeb523/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fbe%2F96%2F258b91e740b7a62c765e5b6b2d52%2Fwooden-houses-with-arrows-pointing-upward-adobestock-419052366.jpeg
INFRASTRUCTURE SPENDING TO OFFSET ‘TOUGH’ HOUSING MARKET FOR BUILDING MATERIALS SECTOR,"The building materials sector is projected to “outperform” over the next 12 to 18 months in the United States, according to a report by Moody’s Investors Service. Robust public infrastructure spending and continued momentum in commercial spending are expected to offset the tough domestic housing market, according to Moody’s.",BUILDER Staff,https://www.builderonline.com/data-analysis/infrastructure-spending-to-offset-tough-housing-market-for-building-materials-sector_o,https://cdnassets.hw.net/dims4/GG/1a34bce/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F85%2F4d%2Fac25470a4ce5b114996445baa6b5%2Fadobestock-4069643.jpeg
NUMBER OF SINGLE-FAMILY PERMITS ISSUED DECREASES YEAR OVER YEAR IN 2022,"The total number of single-family permits issued year to date for 2022 was 972,180 nationwide, representing a 12.5% decrease from the number of permits issued in 2021, according to an analysis by the NAHB. The number of permits issued in 2022 decreased across all four regions, with the largest year-over-year declines in the West.",No Author name,https://www.builderonline.com/data-analysis/number-of-single-family-permits-issued-decreases-year-over-year-in-2022_c,None
ARE ROMANTIC PARTNERS MOVING IN TOGETHER FOR LOVE OR SAVING MONEY?,"In the trenches of an unaffordable housing market, is it love or the perk of saving money that romantic partners are aiming for when considering moving in together? The answer leans toward finances and logistics, according to a recent Realtor.com survey.",Leah Draffen,https://www.builderonline.com/data-analysis/are-romantic-partners-moving-in-together-for-love-or-saving-money_o,https://cdnassets.hw.net/dims4/GG/a09e30c/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F33%2F6c%2Fe838cabb48e7847de33099dcc216%2Fcouple-making-heart-with-hands-moving-adobestock-437899926.jpeg
SURVEY: MATERIAL PRICE AND AVAILABILITY REMAINED TOP CHALLENGE FOR BUILDERS IN 2022,"The price and availability of building materials remained the top challenge listed by builders during 2022, according to a survey conducted for the NAHB/Wells Fargo Housing Market Index. Building material prices were identified as a significant issue for 96% of builder respondents in 2022, and the availability and time it takes to obtain building materials was cited as a significant issue by 86% of respondents. Additionally, interest rates, general inflation, and negative media reports become more significant problems for builders in 2022 compared with 2021.",No Author name,https://www.builderonline.com/data-analysis/survey-material-price-and-availability-remained-top-challenge-for-builders-in-2022_c,None
INFLATION AND LOWER SAVINGS RATES CONTRIBUTE TO STRESS AMONG RENTERS AND HOMEOWNERS,"With wage growth failing to keep up with the pace of inflation over the past year, many households are feeling burdened paying for necessary expenses, and many have turned to drawing on “previously built-up savings” from the pandemic, according to analysis from Fannie Mae’s Economic & Strategic (ESR) Group. As part of the analysis, Fannie Mae outlines how debt stress for renters and lower savings rates among mortgage borrowers could translate to slower demand activity in the housing market and shift homeowner demographics further from first-time buyers.",No Author name,https://www.builderonline.com/data-analysis/inflation-and-lower-savings-rates-contribute-to-stress-among-renters-and-homeowners_c,None
NAHB: HOUSING AFFORDABILITY ENDED 2022 AT RECORD LOW LEVELS,"Housing affordability is at its lowest level since the NAHB began tracking the metric in 2012. Affordability, which posted three consecutive quarterly declines in 2022, has been negatively impacted by rising mortgage rates, building material supply bottlenecks, and increased construction costs. According to the NAHB/Wells Fargo Housing Opportunity Index (HOI), 38.1% of new and existing homes sold between the beginning of October 2022 and the end of December 2022 were affordable for families earning the U.S. median income of $90,000. The top five least affordable major and small housing markets are all located in California, according to the NAHB.",No Author name,https://www.builderonline.com/data-analysis/nahb-housing-affordability-ended-2022-at-record-low-levels_c,None
ALI WOLF: 3 THINGS TO WATCH FOR THE 2023 SPRING SELLING SEASON,"The Super Bowl has come and gone, which means one thing: the start of the spring selling season. In many markets across the country, in fact, it appears the spring selling season started early again in 2023. Zonda data is capturing an uptick in demand following a notable pullback in many markets in the second half of 2022. We attribute the rebound to four main things:",Ali Wolf,https://www.builderonline.com/data-analysis/ali-wolf-3-things-to-watch-for-the-2023-spring-selling-season_o,https://cdnassets.hw.net/dims4/GG/f96ed4a/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fd4%2F4d%2Fc9d5b7c5407dac9ce13361607aa2%2Fadobestock-533895600.jpeg
NINE IN 10 METRO AREAS POSTED HOME PRICE GAINS IN Q4 2022,"Fewer sales are unlikely to translate into lower prices for single-family homes in 2023, according to the latest quarterly report from the National Association of Realtors (NAR).",Symone Strong,https://www.builderonline.com/data-analysis/nine-in-10-metro-areas-posted-home-price-gains-in-q4-2022_o,https://cdnassets.hw.net/dims4/GG/7a9d214/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F92%2F2a%2F4a5e791c4269bd867c9059338560%2Fadobestock-270435973.jpeg
49% OF NEW-BUILD HOMEOWNERS SEARCHED FOR THEIR BUILDER ONLINE,"Surveying 308 U.S. homeowners who have built a new home within the past two years, Mower has released its homeowner and building research report detailing various elements of the home building process.",Leah Draffen,https://www.builderonline.com/data-analysis/49-of-new-build-homeowners-searched-for-their-builder-online_o,https://cdnassets.hw.net/dims4/GG/7b63510/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fd4%2Fa4%2F3ff567364696ac94831569cad600%2Fadobestock-299916068.jpeg
THE MIDWEST IS HOME TO MANY OF THE MOST UNDERVALUED MARKETS,"At the end of 2022, due to rising mortgage rates and home prices, in many markets it was less expensive for households to rent than purchase a median-priced home. According to the U.S. News & World Report, the share of monthly per-capita incomes paid by tenants to landlords was 36% at year-end compared with 37% for homeowners.",BUILDER Staff,https://www.builderonline.com/data-analysis/the-midwest-is-home-to-many-of-the-most-undervalued-markets_o,https://cdnassets.hw.net/dims4/GG/ac4f517/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2e%2Faa%2Fc2a20af64f0db3723e6556ab917b%2Fadobestock-295330529.jpeg
SURVEY: CONSUMER SENTIMENT TOWARD HOUSING INCREASES FOR THIRD CONSECUTIVE MONTH,"The Fannie Mae Home Purchase Sentiment Index (HPSI) increased by 0.6 points in January to a reading of 61.6. Despite increasing for the third consecutive month, consumer sentiment toward housing remains “well below” its pre-pandemic levels, according to Fannie Mae.",Vincent Salandro,https://www.builderonline.com/data-analysis/survey-consumer-sentiment-toward-housing-increases-for-third-consecutive-month_o,https://cdnassets.hw.net/dims4/GG/5291c83/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F48%2F42%2F9ab4d1b84aedb64dc19de64e3ed4%2Fadobestock-121386700-b.jpeg
ALI WOLF: PERSISTENT INFLATION IMPACTS HOUSING AFFORDABILITY ACROSS THE U.S.,"From over 20 million jobs lost in two months to trillions of dollars of federal stimulus contributing to a record-high savings rate, American consumers, and their pocketbooks, have been on a wild ride since the start of the pandemic.",Ali Wolf,https://www.builderonline.com/data-analysis/ali-wolf-persistent-inflation-impacts-housing-affordability-across-the-u-s_o,https://cdnassets.hw.net/dims4/GG/e70b02e/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F6a%2F43%2F1d560c064566a528e935fcb926cf%2Fadobestock-66626173.jpeg
NAHB: MEDIAN AGE OF OWNER-OCCUPIED HOMES IS 40 YEARS,"The owner-occupied housing stock is aging rapidly, as the median age of owner-occupied homes is 40 years, according to the latest data from the 2021 American Community Survey. According to the NAHB, the combination of a lack of sufficient supply of new construction and an aging existing housing stock signals potential growth in the remodeling market.",No Author name,https://www.builderonline.com/data-analysis/nahb-median-age-of-owner-occupied-homes-is-40-years_o,https://cdnassets.hw.net/dims4/GG/1e386ff/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe1%2F2d%2Fb1b8ee8f40e5b1f65a024dee7cf0%2Fadobestock-27554803.jpeg
JOBS MARKET STARTS 2023 WITH A ‘SIGNIFICANT AND SURPRISING’ SURGE IN EMPLOYMENT,"Total nonfarm payroll employment rose by 517,000 in January, a significant increase after job growth of 223,000 in December, according to the latest jobs report from the U.S. Bureau of Labor Statistics (BLS). Job growth last month reversed a trend of five consecutive months of deceleration. Job growth was led by gains in leisure and hospitality (+128,000), professional and business services (+82,000), and health care (+58,000).",Vincent Salandro,https://www.builderonline.com/data-analysis/jobs-market-starts-2023-with-a-significant-and-surprising-surge-in-employment_o,https://cdnassets.hw.net/dims4/GG/9aa33a5/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F55%2Fd3%2Fe7bd6502433a8f67a333952ba27c%2Fadobestock-57158359.jpeg
MERITAGE HOMES SLIPS PAST EARNINGS ESTIMATE,Meritage Homes slipped past earnings estimates to end the year with a quarterly profit of $262.4 million—a 10% increase from the same quarter in 2021.,Cassie Apperloo,https://www.builderonline.com/data-analysis/meritage-homes-slips-past-earnings-estimate_o,https://cdnassets.hw.net/dims4/GG/1d0f4fe/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F0e%2Ff8%2F9c4b4cbb487c9babc84126418164%2Fmh-logo-w1lntag-vrt.jpg
NEW-HOME LOT INVENTORY JUMPS IN FOURTH QUARTER,,Symone Strong,https://www.builderonline.com/data-analysis/new-home-lot-inventory-jumps-in-fourth-quarter_o,https://cdnassets.hw.net/dims4/GG/f2f39d8/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fdf%2F5a%2Fcd43132e4ab0ac4a8b820e6c493d%2Fadobestock-246565520.jpeg
MDC SHIFTS FOCUS TO QUICK MOVE-IN HOMES AS PROFIT SLIDES,MDC Holdings will shift its focus to quick move-in homes in 2023 as it looks to ride out what appears to be a challenging year for home builders.,Cassie Apperloo,https://www.builderonline.com/data-analysis/mdc-shifts-focus-to-quick-move-in-homes-as-profit-slides_o,https://cdnassets.hw.net/dims4/GG/fecc879/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fec%2Fa5%2Fe51b3f534854998d330ed72fb63b%2Fmcd-logo.jpg
HOME PRICES CONTINUE TO SLIP,"Home prices continued to decline for the fifth consecutive month in November, according to one of the nation’s leading residential real estate measures.",Donna Kimura,https://www.builderonline.com/data-analysis/home-prices-continue-to-slip_o,https://cdnassets.hw.net/dims4/GG/7a9d214/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F92%2F2a%2F4a5e791c4269bd867c9059338560%2Fadobestock-270435973.jpeg
"PULTE SMASHES PAST ESTIMATES, BUT ORDERS PLUNGE 41%","PulteGroup is the latest builder to smash past earnings estimates, saying it pulled in $882 million in profit in its fourth quarter while warning that higher mortgage rates were taking a toll on its recent orders.",Steve Ladurantaye,https://www.builderonline.com/data-analysis/pulte-smashes-past-estimates-but-orders-plunge-41_o,https://cdnassets.hw.net/dims4/GG/63edc0a/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F01%2F31%2Ff421834b4052a9e3a492dd7c6e42%2Fpulte-group-logo.jpg
"PENDING HOME SALES REVERSE SIX-MONTH SLIDE, INCREASE IN DECEMBER","Pending home sales increased on a month-over-month basis for the first time since May 2022 in December, according to the National Association of Realtors (NAR). The Pending Home Sales Index (PHSI), a forward-looking indicator of home sales based on contract signings, improved 2.5% to 76.9 in December. An index reading of 100 is equal to the level of contract activity in 2001. On a year-over-year basis, pending transactions fell by 33.8% in December 2022.",Vincent Salandro,https://www.builderonline.com/data-analysis/pending-home-sales-reverse-six-month-slide-increase-in-december_o,https://cdnassets.hw.net/dims4/GG/a6d1a3d/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Feb%2F61%2F6c6200914f22b5fcf97f30c78e04%2Fadobestock-348038158.jpeg
FIVE TAKEAWAYS ON THE 2023 HOUSING MARKET,"There’s no crystal ball that will let you know what’s ahead for the housing market, but that doesn’t mean there aren’t high-powered experts with strong opinions who are willing to share their insights.",Steve Ladurantaye,https://www.builderonline.com/data-analysis/five-takeaways-on-the-2023-housing-market_o,https://cdnassets.hw.net/dims4/GG/066e4aa/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fee%2Fa7%2Fa40505824542946a61eb2b263bff%2Fcw6-1586-2.jpg
2022 ENDS WITH COOLING INFLATION AND CONTINUED ECONOMIC GROWTH,"The economy continued to grow in the fourth quarter of 2022, with consumer spending and private inventory investment helping increase GDP for the second consecutive quarter. In addition to economic growth, data suggests that inflation is cooling. The GDP price index rose 3.5% in the fourth quarter, down from a 9% increase in the second quarter and a 4.4% increase in the third quarter, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/2022-ends-with-cooling-inflation-and-continued-economic-growth_c,None
NEW-HOME SALES INCREASE SLIGHTLY IN DECEMBER,"Sales of new single‐family houses in December were at a seasonally adjusted annual rate of 616,000, according to estimates released by the U.S. Census Bureau and the Department of Housing and Urban Development. This is 2.3% above the revised November rate of 602,000 but 26.6% below the December 2021 estimate of 839,000.",Symone Strong,https://www.builderonline.com/data-analysis/new-home-sales-increase-slightly-in-december_o,https://cdnassets.hw.net/dims4/GG/2cfb402/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2a%2F0b%2Faa18bb4c469f9a2b0ea9c3f0e782%2Fadobestock-64479058.jpeg
HOUSING’S SHARE OF GDP INCHED LOWER IN FOURTH QUARTER OF 2022,"Housing’s share of the economy decreased at the end of the fourth quarter of 2022. While GDP increased for the second consecutive quarter, housing’s share of GDP decreased 20 basis points to 15.9% in the fourth quarter, according to an analysis by the NAHB.",No Author name,https://www.builderonline.com/data-analysis/housings-share-of-gdp-inched-lower-in-fourth-quarter-of-2022_c,None
AIA: DECLINE SLOWS FOR DECEMBER BILLINGS,"The American Institute of Architects monthly Architecture Billings Index came in at 47.5 in December, a 0.9-point rise from November's score of 46.6. The ABI is a leading economic indicator of construction activity in the U.S. and reflects a nine- to 12-month lead time between architecture billings and construction spending nationally, regionally, and by project type. A score above 50 represents an increase in billings from the previous month, while a score below 50 represents a contraction.",ARCHITECT Staff,https://www.builderonline.com/data-analysis/aia-decline-slows-for-december-billings_s,None
NEW HOME PENDING SALES INDEX POSTS MONTHLY GAIN TO END 2022,,Symone Strong,https://www.builderonline.com/data-analysis/new-home-pending-sales-index-posts-monthly-gain-to-end-2022_o,https://cdnassets.hw.net/dims4/GG/4b2bbde/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fcd%2F63%2F6dfd953548ffa6c3dabfb851781e%2Fh.png
NAHB: FEWER ADULTS PLANNING TO PURCHASE A HOME,"The share of adults planning to make a home purchase in the next 12 months decreased from 15% to 13% on a quarterly basis in the fourth quarter of 2022, according to an analysis of the Housing Trends Report by the NAHB. The share of prospective first-time buyers considering a purchase peaked in the third quarter of 2022 at 66% as consumers attempted to stay ahead of further interest rate hikes.",No Author name,https://www.builderonline.com/data-analysis/nahb-fewer-adults-planning-to-purchase-a-home_c,None
EXISTING-HOME SALES DIP 1.5% IN DECEMBER,"Total existing-home sales, or completed transactions that include single-family homes, townhomes, condominiums, and co-ops, decreased 1.5% from November to a seasonally adjusted annual rate of 4.02 million in December, according to the National Association of Realtors (NAR). Year over year, sales sagged 34%, down from 6.09 million in December 2021.",Symone Strong,https://www.builderonline.com/data-analysis/existing-home-sales-dip-1-5-in-december_o,https://cdnassets.hw.net/dims4/GG/af4bd24/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F2b%2F84%2F29c9128b497e92485d456d404358%2Fadobestock-242445011.jpeg
BOTH RENTING AND OWNING ARE UNAFFORDABLE FOR AVERAGE WORKERS THROUGHOUT THE COUNTRY,"The average three-bedroom rental is more affordable than owning a comparably sized median-priced home in 95% of the 222 U.S. counties analyzed by ATTOM’s 2023 Rental Affordability Report. Consuming more than one-third of average wages in most major housing markets, both renting and owning a three-bedroom home are significant financial burdens, according to the report.",Leah Draffen,https://www.builderonline.com/data-analysis/both-renting-and-owning-are-unaffordable-for-average-workers-throughout-the-country_o,https://cdnassets.hw.net/dims4/GG/d5431fe/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fa0%2F16%2F1abdef334e13937ebc8f4130bf49%2Fadobestock-75245484.jpeg
HOUSING MARKET UPDATE: MARKET IMPASSE WITH CONTINUED BUYER HESITATION,"While inflation has begun showing signs of improvement on both a year-over-year and month-over-month basis, there is not enough evidence to give confidence that inflation is on a sustained path downward.",Vincent Salandro,https://www.builderonline.com/data-analysis/housing-market-update-market-impasse-with-continued-buyer-hesitation_o,https://cdnassets.hw.net/dims4/GG/01d0151/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F72%2Feb%2Fb4002c644a3d9c4466b2b01ad705%2Fadobestock-55999982.jpeg
BUILDING MATERIAL PRICE GROWTH SLOWS IN 2022 COMPARED WITH 2021,"The producer price index (PPI) for inputs to residential construction rose 8.3% in 2022, a much smaller magnitude than the 18.9% growth in the PPI in 2021, according to an analysis by the NAHB. On a month-over-month basis, building materials prices fell 0.3% in December, marking the fourth consecutive monthly decline.",No Author name,https://www.builderonline.com/data-analysis/building-material-price-growth-slows-in-2022-compared-with-2021_c,None
SINGLE-FAMILY STARTS INCREASE 11.3% IN DECEMBER,"Privately owned housing starts in December decreased 1.4% month over month and 21.8% year over year to a seasonally adjusted annual rate of 1,382,000, according to the U.S. Census Bureau and the Department of Housing and Urban Development. The December rate for units with five units or more was 463,000.",Vincent Salandro,https://www.builderonline.com/data-analysis/single-family-starts-increase-11-3-in-december_o,https://cdnassets.hw.net/dims4/GG/4c4c54e/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F42%2F95%2Fcad566cb4c31afab37aca3db8d4c%2Fnew-home-under-construction-framing.jpg
"REPORT: PORTSMOUTH, VIRGINIA, AND DEFOREST, WISCONSIN, TOP LIST OF BEST MARKETS FOR FIRST-TIME BUYERS IN 2023","Beyond relative affordability, the best markets for first-time home buyers in 2023 will offer residents a strong job market, short commute times, ample places to eat and drink, a younger population, and a relatively larger inventory of homes to choose from, according to Realtor.com. Portsmouth, Virginia; DeForest, Wisconsin; Windsor Locks, Connecticut; Gloucester City, New Jersey; and Moore, Oklahoma top Realtor.com’s list of Best Markets for First-Time Home Buyers in 2023, ranked on affordability, livability, and where it will be easiest for young buyers to break into the housing market.",Vincent Salandro,https://www.builderonline.com/data-analysis/report-portsmouth-virginia-and-deforest-wisconsin-top-list-of-best-markets-for-first-time-buyers-in-2023_o,https://cdnassets.hw.net/dims4/GG/0801336/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F37%2Ff9%2F8638b5924f4681fe0feebb763272%2Fadobestock-430014652-1.jpeg
SINGLE-FAMILY PERMITS DECREASE YEAR TO DATE IN NOVEMBER 2022,"Over the first 11 months of 2022, the total number of single-family permits issued year to date reached 921,626, approximately 10.5% lower than the same period in 2021. Single-family permits declined year to date in all four regions, with the largest declines in the Midwest. Conversely, multifamily permits increased in all but one region, the Northeast.",No Author name,https://www.builderonline.com/data-analysis/single-family-permits-decrease-year-to-date-in-november-2022_c,None
BUILDER SENTIMENT POSTS FIRST INCREASE IN 12 MONTHS IN JANUARY,"Builder confidence levels increased in January due to a modest drop in interest rates, ending a string of 12 consecutive months of builder sentiment decreases, according to the NAHB/Wells Fargo Housing Market Index (HMI). Builder confidence in the market for newly built single-family homes in January increased by four points to 35, according to the HMI.",Vincent Salandro,https://www.builderonline.com/data-analysis/builder-sentiment-posts-first-increase-in-12-months-in-january_o,https://cdnassets.hw.net/dims4/GG/038567a/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe9%2F93%2Fc53b65eb4d6da0965f20fe92bf64%2Fadobestock-71564577.jpeg
NAHB: MATERIAL SHORTAGES EASE IN MANY PRODUCT CATEGORIES,"The shortages of building materials have improved in most categories since the historically widespread shortages as recently as May 2021, according to an NAHB analysis. Despite the improvement, several categories—including HVAC equipment, ceramic tiles, clay bricks, and cement-based building materials—have gotten slightly worse since the shortages experienced in the middle of 2021.",No Author name,https://www.builderonline.com/data-analysis/nahb-material-shortages-ease-in-many-product-categories_c,None
REPORT: CHARLOTTE WILL BE THE HOTTEST HOUSING MARKET IN 2023,"While the housing market is expected to continue to cool in 2023 due to high mortgage rates, affordability concerns, and inflation, the metro markets of Charlotte, North Carolina; Cleveland; Pittsburgh; Dallas; and Nashville, Tennessee, are projected to be the nation’s hottest housing markets in the calendar year. Charlotte tops the list because of the market’s forecasted annual home price growth.",Vincent Salandro,https://www.builderonline.com/data-analysis/report-charlotte-will-be-the-hottest-housing-market-in-2023_o,https://cdnassets.hw.net/dims4/GG/a63d8d8/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F38%2F3c%2F62609ccb41c5822e156d61498bca%2Fadobestock-194831077.jpeg
"MORTGAGE RATES DECLINE, AND APPLICATIONS INCREASE SLIGHTLY","The results of Freddie Mac’s Primary Mortgage Market Survey shows the 30-year fixed-rate mortgage averaged 6.33% for the week of Jan. 12, down from the prior week when it averaged 6.48%. A year ago at this time, the rate averaged 3.45%.",BUILDER Staff,https://www.builderonline.com/data-analysis/mortgage-rates-decline-and-applications-increase-slightly_o,https://cdnassets.hw.net/dims4/GG/f5d383b/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Feb%2Fa3%2F0de74efc49f394fd9f678473f32d%2Fpmms-chart-01-12-2023.jpeg
INFLATION CONTINUES TO COOL IN DECEMBER,Consumer prices experienced their largest month-over-month decrease in December since April 2020 as inflation experienced its third month below an 8% annual growth rate since February 2022. December marked the sixth consecutive month of a deceleration in the pace of growth of inflation.,No Author name,https://www.builderonline.com/data-analysis/inflation-continues-to-cool-in-december_c,None
REPORT: HOUSING MARKET NORMALIZES AS INVENTORY INCREASES AND PRICE GROWTH MODERATES,"Inventory and time on the market increased while listing price growth moderated during December, signaling the housing market is continuing to normalize, according to the Realtor.com Monthly Housing Trends report. The normalization in the market suggests home buyers will have more options and more time to make decisions during their searches in the new year, Realtor.com says.",Vincent Salandro,https://www.builderonline.com/data-analysis/report-housing-market-normalizes-as-inventory-increases-and-price-growth-moderates_o,https://cdnassets.hw.net/dims4/GG/1e386ff/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe1%2F2d%2Fb1b8ee8f40e5b1f65a024dee7cf0%2Fadobestock-27554803.jpeg
"SURVEY: DESPITE HEADWINDS, CONSTRUCTION PROFESSIONALS REMAIN OPTIMISTIC FOR 2023","Rising material costs, the scarcity of skilled construction workers, and material lead delays are the top concerns among general contractors and subcontractors, according to the 2022 PlanHub Construction Industry Report. Despite concern, the majority of respondents expressed optimism about the growth opportunities available for their businesses.",No Author name,https://www.builderonline.com/data-analysis/survey-despite-headwinds-construction-professionals-remain-optimistic-for-2023_o,https://cdnassets.hw.net/dims4/GG/4b44443/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F65%2F76%2Fbde2bde14553922c53ea5e213714%2Fadobestock-123512308-small.jpg
NAHB: MORE THAN 18 MILLION HOUSEHOLDS PRICED OUT BY MORTGAGE RATE INCREASES DURING 2022,"The NAHB conducted an analysis to determine how many households were priced out by rapidly rising mortgage rates over the duration of 2022. At the beginning of 2022, assuming a median purchase price of $450,700, approximately 34% of buyers could afford to purchase a home with a 3.22% 30-year fixed-rate mortgage. However, as mortgage rates continued to rise during 2022, approximately 18 million households were priced out over the course of the calendar year.",No Author name,https://www.builderonline.com/data-analysis/nahb-more-than-18-million-households-priced-out-by-mortgage-rate-increases-during-2022_o,None
